time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure_ksi	agg_plate_pressure_ksi	soil_pore_water_pressure_ksi	agg_pore_water_pressure_ksi	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top
0.000000	0.000259	0.000388	-0.000129	-0.000259	-0.000129	-0.000129	0.000129	-0.000129	0.000000	-0.000259	-0.000388	0.000000	0.000135	0.000000	0.000058	0.000134	-0.000001	-0.000002	-0.000001	-0.000001	0.000000	0.000001	-0.000000	0.000001
0.062500	0.000259	0.000388	0.000000	-0.000129	-0.000259	0.000000	0.000000	0.000000	0.000129	-0.000129	-0.000259	0.000000	0.000135	0.000000	0.000058	0.000134	-0.000001	0.000001	-0.000001	-0.000002	0.000001	0.000002	-0.000001	0.000002
0.125000	0.000129	0.000259	-0.000129	-0.000129	0.000000	0.000000	0.000000	0.000000	-0.000129	-0.000129	-0.000129	-0.000129	0.000135	0.000000	0.000058	0.000134	0.000001	0.000001	-0.000001	-0.000002	0.000001	0.000003	-0.000000	0.000001
0.187500	-0.000129	0.000129	-0.000129	-0.000129	-0.000129	0.000129	-0.000129	-0.000129	-0.000129	-0.000129	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	0.000000	-0.000001	-0.000001	-0.000002	0.000000	0.000001	0.000001	0.000000
0.250000	0.000000	0.000129	0.000129	-0.000129	0.000000	0.000000	-0.000129	0.000000	0.000000	-0.000259	-0.000388	0.000129	0.000135	0.000000	0.000058	0.000134	-0.000000	0.000001	-0.000001	-0.000001	0.000000	0.000001	0.000001	0.000001
0.312500	-0.000129	0.000388	0.000129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000129	0.000000	-0.000259	0.000259	0.000135	0.000000	0.000058	0.000134	0.000001	0.000001	0.000001	-0.000000	0.000000	0.000000	0.000002	0.000001
0.375000	-0.000129	0.000388	0.000000	-0.000259	-0.000259	0.000000	-0.000129	0.000000	0.000129	-0.000129	0.000000	0.000259	0.000135	0.000000	0.000058	0.000134	0.000001	0.000001	0.000002	0.000000	0.000001	-0.000000	0.000003	0.000001
0.437500	-0.000129	0.000000	0.000000	-0.000259	0.000000	0.000000	0.000000	-0.000129	0.000129	-0.000129	-0.000129	0.000129	0.000135	0.000000	0.000058	0.000134	0.000001	0.000001	0.000001	-0.000001	0.000000	-0.000000	0.000004	0.000000
0.500000	0.000000	0.000129	0.000000	-0.000129	-0.000259	0.000000	0.000129	0.000000	0.000129	-0.000129	0.000000	-0.000259	0.000135	0.000000	0.000058	0.000134	0.000001	0.000000	0.000001	0.000000	-0.000001	-0.000001	0.000004	-0.000000
0.562500	0.000000	0.000388	0.000259	-0.000129	0.000000	0.000129	0.000000	-0.000129	0.000129	-0.000129	-0.000129	0.000000	0.000135	0.000000	0.000058	0.000134	0.000002	0.000001	0.000001	0.000001	-0.000000	-0.000000	0.000004	0.000002
