time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	volt_ch17	volt_ch18	volt_ch19	volt_ch20	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top
0.000000	3.311400	3.572846	3.118600	1.930601	3.556752	1.892172	4.992089	3.577773	3.100206	3.029918	3.735758	3.298919	0.020027	0.005903	0.000320	-0.000009	0.000118	-0.000915	0.006716	0.012692	-0.000414	0.000439	-0.001159	-0.000126
0.062500	3.311400	3.572846	3.118928	1.930929	3.556424	1.892501	4.991760	3.578101	3.100535	3.030247	3.736086	3.298919	0.019370	0.005903	-0.000009	-0.000337	0.000119	-0.000912	0.006717	0.012691	-0.000414	0.000440	-0.001159	-0.000124
0.125000	3.311071	3.572518	3.118600	1.930929	3.557081	1.892501	4.991760	3.578101	3.099878	3.030247	3.736415	3.298590	0.019698	0.005903	0.000648	-0.000337	0.000121	-0.000913	0.006717	0.012691	-0.000414	0.000440	-0.001158	-0.000126
0.187500	3.310414	3.572189	3.118600	1.930929	3.556752	1.892829	4.991432	3.577773	3.099878	3.030247	3.736415	3.299247	0.019698	0.005575	0.000320	-0.000337	0.000120	-0.000915	0.006717	0.012691	-0.000414	0.000438	-0.001157	-0.000126
0.250000	3.310743	3.572189	3.119257	1.930929	3.557081	1.892501	4.991432	3.578101	3.100206	3.029918	3.735758	3.299247	0.019370	0.005903	-0.000009	-0.000009	0.000120	-0.000912	0.006717	0.012692	-0.000415	0.000438	-0.001157	-0.000126
0.312500	3.310414	3.572846	3.119257	1.931258	3.557081	1.892501	4.991760	3.578101	3.100535	3.030575	3.736086	3.299576	0.019698	0.005903	0.000648	-0.000337	0.000121	-0.000913	0.006719	0.012693	-0.000415	0.000438	-0.001156	-0.000126
0.375000	3.310414	3.572846	3.118928	1.930601	3.556424	1.892501	4.991432	3.578101	3.100535	3.030247	3.736743	3.299576	0.020355	0.005903	0.000320	-0.000009	0.000121	-0.000912	0.006720	0.012693	-0.000414	0.000437	-0.001155	-0.000125
0.437500	3.310414	3.571861	3.118928	1.930601	3.557081	1.892501	4.991760	3.577773	3.100535	3.030247	3.736415	3.299247	0.020027	0.005903	0.000648	-0.000337	0.000121	-0.000912	0.006718	0.012692	-0.000415	0.000437	-0.001155	-0.000126
0.500000	3.310743	3.572189	3.118928	1.930929	3.556424	1.892501	4.992089	3.578101	3.100535	3.030247	3.736743	3.298262	0.020355	0.005575	0.000320	-0.000337	0.000121	-0.000913	0.006719	0.012693	-0.000415	0.000436	-0.001154	-0.000127
0.562500	3.310743	3.572846	3.119585	1.930929	3.557081	1.892829	4.991760	3.577773	3.100535	3.030247	3.736415	3.298919	0.020355	0.005246	-0.000009	-0.000337	0.000121	-0.000912	0.006719	0.012694	-0.000415	0.000437	-0.001155	-0.000125
0.625000	3.310743	3.573175	3.119257	1.930601	3.556752	1.892501	4.991760	3.578430	3.101192	3.030575	3.735758	3.298919	0.020027	0.005575	0.000320	-0.000337	0.000122	-0.000912	0.006718	0.012693	-0.000413	0.000438	-0.001156	-0.000126
0.687500	3.310743	3.572518	3.118928	1.930929	3.556424	1.892501	4.991760	3.577773	3.101192	3.030247	3.736086	3.298919	0.019698	0.005903	0.000320	-0.000337	0.000120	-0.000914	0.006718	0.012692	-0.000414	0.000438	-0.001156	-0.000125
0.750000	3.310743	3.572518	3.118928	1.930929	3.556424	1.892829	4.991760	3.578101	3.100863	3.030247	3.736415	3.298919	0.020027	0.005903	-0.000009	-0.000337	0.000120	-0.000913	0.006718	0.012693	-0.000414	0.000439	-0.001157	-0.000126
0.812500	3.311400	3.572846	3.118928	1.930929	3.556752	1.892501	4.991760	3.578101	3.100535	3.030247	3.735758	3.299576	0.019698	0.006232	0.000320	-0.000337	0.000120	-0.000914	0.006716	0.012692	-0.000415	0.000438	-0.001157	-0.000126
0.875000	3.312057	3.572518	3.118928	1.930929	3.556752	1.892501	4.991760	3.578101	3.100535	3.029918	3.735758	3.299247	0.019370	0.005903	0.000320	-0.000009	0.000120	-0.000914	0.006715	0.012692	-0.000413	0.000439	-0.001159	-0.000125
0.937500	3.310086	3.572846	3.118928	1.930601	3.556424	1.892172	4.991104	3.578101	3.100863	3.030247	3.736415	3.299247	0.020027	0.005903	0.000320	-0.000337	0.000120	-0.000914	0.006717	0.012692	-0.000413	0.000439	-0.001158	-0.000125
1.000000	3.311400	3.572846	3.118600	1.930929	3.556424	1.892829	4.991432	3.578430	3.100535	3.030247	3.736086	3.299247	0.019698	0.005903	0.000320	-0.000009	0.000120	-0.000914	0.006718	0.012693	-0.000413	0.000439	-0.001158	-0.000126
1.062500	3.311071	3.572846	3.119257	1.930929	3.556752	1.892501	4.991760	3.578430	3.100863	3.030575	3.737072	3.299247	0.020027	0.005903	0.000320	-0.000009	0.000120	-0.000913	0.006718	0.012692	-0.000414	0.000437	-0.001157	-0.000127
1.125000	3.310743	3.572189	3.118600	1.930601	3.557081	1.892501	4.991760	3.578430	3.100535	3.030247	3.736086	3.298919	0.019698	0.006232	0.000320	-0.000009	0.000120	-0.000914	0.006717	0.012692	-0.000415	0.000436	-0.001159	-0.000126
1.187500	3.310743	3.571861	3.118928	1.930601	3.557081	1.892501	4.991432	3.577445	3.099878	3.029590	3.735758	3.298919	0.019698	0.005903	0.000320	-0.000337	0.000120	-0.000912	0.006717	0.012694	-0.000414	0.000439	-0.001156	-0.000125
1.250000	3.310414	3.572518	3.118928	1.930929	3.557081	1.892501	4.991760	3.578101	3.099878	3.030247	3.735758	3.298262	0.020355	0.005575	0.000320	-0.000009	0.000122	-0.000911	0.006718	0.012695	-0.000415	0.000437	-0.001155	-0.000126
1.312500	3.311400	3.573175	3.119257	1.931258	3.556424	1.892501	4.991760	3.578101	3.100863	3.030247	3.736086	3.299247	0.019698	0.005903	0.000648	-0.000337	0.000122	-0.000912	0.006719	0.012694	-0.000415	0.000436	-0.001154	-0.000126
1.375000	3.311400	3.573175	3.119585	1.930929	3.556424	1.892172	4.991760	3.578101	3.100535	3.029918	3.735758	3.298590	0.019698	0.005903	-0.000009	-0.000337	0.000121	-0.000912	0.006718	0.012693	-0.000415	0.000437	-0.001155	-0.000127
1.437500	3.311071	3.572846	3.118928	1.930929	3.557081	1.892172	4.991760	3.578430	3.100535	3.029918	3.736086	3.298590	0.020027	0.005903	-0.000009	-0.000337	0.000121	-0.000911	0.006718	0.012694	-0.000414	0.000437	-0.001156	-0.000126
1.500000	3.311071	3.572846	3.118928	1.930929	3.557081	1.892501	4.992089	3.578101	3.100206	3.030247	3.735758	3.299576	0.019698	0.005903	-0.000009	-0.000666	0.000121	-0.000913	0.006717	0.012693	-0.000415	0.000436	-0.001157	-0.000124
1.562500	3.310743	3.572846	3.119585	1.931258	3.556424	1.892172	4.991760	3.578101	3.100206	3.030575	3.736743	3.298590	0.019698	0.005575	-0.000009	-0.000009	0.000120	-0.000913	0.006717	0.012692	-0.000415	0.000437	-0.001158	-0.000126
1.625000	3.310086	3.573175	3.118928	1.931258	3.557081	1.892501	4.991760	3.578101	3.100535	3.030575	3.736415	3.299247	0.020027	0.005903	-0.000009	-0.000009	0.000118	-0.000914	0.006716	0.012692	-0.000414	0.000439	-0.001158	-0.000126
1.687500	3.311071	3.572518	3.118928	1.930929	3.556424	1.892829	4.992089	3.578101	3.100535	3.030247	3.735758	3.299576	0.020027	0.005575	0.000320	-0.000009	0.000119	-0.000913	0.006716	0.012692	-0.000414	0.000440	-0.001159	-0.000125
1.750000	3.310743	3.572846	3.119585	1.930929	3.557081	1.892501	4.991760	3.578101	3.101192	3.030247	3.735758	3.298919	0.020355	0.005903	0.000648	0.000320	0.000120	-0.000915	0.006715	0.012691	-0.000414	0.000439	-0.001159	-0.000125
1.812500	3.310743	3.572846	3.119585	1.931258	3.556424	1.892501	4.992089	3.578101	3.100863	3.030904	3.736415	3.299247	0.020027	0.005903	0.000648	0.000320	0.000121	-0.000914	0.006715	0.012692	-0.000415	0.000440	-0.001159	-0.000125
