time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure_ksi	agg_plate_pressure_ksi	soil_pore_water_pressure_ksi	agg_pore_water_pressure_ksi	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top
0.000000	-0.000328	0.000036	0.001851	-0.005445	0.000105	-0.004905	0.001905	-0.000028	0.001603	0.002999	0.003588	-0.000819	-0.000000	-0.000000	-0.000000	-0.000000	-0.000001	-0.000001	-0.000002	-0.000002	0.000001	0.000001	-0.000001	-0.000000
0.062500	0.000060	-0.000093	0.001593	-0.005445	-0.000024	-0.004517	0.001647	-0.000028	0.001603	0.002611	0.003200	-0.000949	-0.000000	-0.000000	0.000000	-0.000000	-0.000001	-0.000000	-0.000001	-0.000001	0.000002	-0.000000	-0.000001	0.000000
0.125000	-0.000199	0.000036	0.001593	-0.005186	0.000235	-0.004647	0.002035	0.000101	0.001474	0.002740	0.003200	-0.000561	-0.000000	0.000000	0.000000	-0.000000	-0.000001	-0.000000	-0.000001	-0.000001	0.000002	-0.000000	-0.000003	-0.000001
0.187500	-0.000328	0.000036	0.001851	-0.005315	-0.000024	-0.004776	0.002164	-0.000028	0.001733	0.002870	0.003330	0.000991	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000002	-0.000001	-0.000000	0.000000	-0.000000	-0.000000	-0.000000
0.250000	-0.000328	-0.000093	0.001851	-0.005445	0.000105	-0.005035	0.003199	-0.000028	0.001603	0.002999	0.003718	0.002026	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000001	0.000001	0.000000	0.000001	0.000001	-0.000000
0.312500	0.000448	0.000166	0.001722	-0.005703	-0.000024	-0.005552	0.003716	-0.000028	0.001733	0.002870	0.004235	0.003448	0.000000	-0.000000	-0.000000	-0.000000	0.000001	0.000000	0.000000	0.000002	-0.000000	-0.000001	0.000001	-0.000002
0.375000	0.000060	-0.000222	0.001851	-0.005445	-0.000024	-0.006198	0.004233	-0.000157	0.001733	0.002870	0.005399	0.004870	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000001	-0.000001	-0.000001	0.000003	-0.000001
0.437500	0.000318	0.000166	0.002239	-0.005962	0.000105	-0.006974	0.004750	-0.000028	0.001991	0.002999	0.005657	0.005776	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000003	0.000001	0.000001	-0.000001	0.000001	-0.000001
0.500000	0.000189	0.000295	0.002498	-0.006350	-0.000153	-0.007104	0.004880	-0.000028	0.001991	0.003128	0.005787	0.006164	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000001	0.000002	0.000001	-0.000000	0.000001	-0.000000
0.562500	0.000189	0.000295	0.002627	-0.006867	-0.000153	-0.007492	0.004880	-0.000028	0.001991	0.003128	0.005787	0.006422	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000000	0.000001	-0.000000	0.000002	-0.000000
0.625000	0.000448	-0.000093	0.002627	-0.006608	-0.000024	-0.007492	0.004880	-0.000028	0.002121	0.002999	0.005787	0.005776	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	0.000001	0.000000	-0.000000	-0.000000
0.687500	0.000577	0.000166	0.002368	-0.006608	-0.000153	-0.007492	0.004621	-0.000028	0.001991	0.002999	0.005657	0.005000	0.000000	0.000000	-0.000000	0.000000	-0.000001	0.000000	-0.000001	-0.000001	0.000002	0.000001	-0.000002	0.000001
0.750000	0.000448	0.000166	0.002368	-0.006479	-0.000024	-0.007233	0.004492	0.000101	0.001991	0.002999	0.005528	0.003707	0.000000	0.000000	-0.000000	-0.000000	-0.000001	-0.000001	-0.000001	-0.000000	0.000002	0.000002	-0.000000	0.000001
0.812500	0.000060	0.000036	0.002110	-0.006479	-0.000024	-0.006974	0.004104	-0.000157	0.001603	0.002999	0.005787	0.002801	0.000000	0.000000	0.000000	-0.000000	-0.000001	0.000000	-0.000001	-0.000002	0.000000	0.000002	-0.000000	0.000001
