time	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure	agg_plate_pressure	soil_pore_water_pressure	agg_pore_water_pressure
2026-03-18 11:30:58.480776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2026-03-18 11:30:59.273964	0.000003	0.000001	0.000000	0.000001	0.000001	-0.000002	0.000001	-0.000000	0.000000	-0.000328	0.000000	-0.000328	2.411777	3.979793	5.264336	6.316366	-0.000328	0.000000	-0.000328	0.000000	0.000330	0.000827	0.000000	0.000331
2026-03-18 11:31:00.156009	0.000003	0.000000	0.000001	0.000003	0.000002	-0.000005	0.000004	-0.000001	0.000000	-0.000328	0.000000	-0.000328	2.412434	3.981106	5.266635	6.319322	-0.000657	-0.000657	0.000000	0.000657	0.000000	0.000827	-0.000329	0.000000
2026-03-18 11:31:01.254349	0.000004	0.000000	-0.000000	0.000000	0.000000	-0.000002	0.000001	-0.000001	-0.000328	-0.000657	-0.000328	0.000328	2.412763	3.981435	5.266635	6.319651	-0.000657	0.000000	0.000000	0.000657	0.000000	-0.000827	-0.000329	0.000331
2026-03-18 11:31:02.155767	0.000001	-0.000001	-0.000002	0.000001	0.000001	-0.000002	-0.000002	-0.000003	0.000000	-0.000328	0.000328	0.000328	2.413091	3.981763	5.267292	6.320308	-0.000328	0.000328	0.000000	0.000328	0.000330	0.000000	0.000000	0.000000
2026-03-18 11:31:03.252972	0.000001	0.000001	-0.000000	0.000001	0.000000	-0.000003	-0.000000	-0.000003	0.000000	-0.000328	0.000328	0.000328	2.413748	3.983077	5.268605	6.322278	-0.000985	-0.000328	0.000000	0.000657	0.000330	0.000827	-0.000329	0.000331
2026-03-18 11:31:04.273967	0.000002	-0.000001	0.000002	0.000001	-0.000001	-0.000006	0.000003	-0.000002	0.000000	0.000000	-0.000328	0.000000	2.414076	3.982749	5.269262	6.322935	-0.000985	0.000000	0.000000	0.000328	0.000000	-0.000827	0.000000	0.000331
2026-03-18 11:31:05.253999	0.000001	-0.000002	0.000000	0.000002	0.000001	-0.000004	0.000001	0.000000	-0.000657	0.000000	0.000328	0.000000	2.412763	3.981763	5.267949	6.320964	-0.000657	0.000000	0.000328	0.000328	0.000330	0.000827	-0.000329	0.000331
2026-03-18 11:31:06.265761	0.000002	-0.000002	-0.000001	-0.000000	0.000001	-0.000001	-0.000002	-0.000002	0.000000	-0.000328	-0.000328	0.000328	2.413420	3.982749	5.268277	6.321621	-0.000657	-0.000657	0.000000	0.000657	0.000000	0.000827	-0.000329	0.000331
2026-03-18 11:31:07.251254	0.000002	-0.000000	-0.000000	0.000001	0.000001	-0.000002	0.000001	-0.000001	-0.000328	-0.000657	0.000000	0.000000	2.413420	3.983077	5.267949	6.322278	-0.000328	0.000000	-0.000657	0.000328	0.000000	0.000827	0.000000	0.000331
2026-03-18 11:31:08.260842	0.000004	-0.000000	0.000002	0.000001	0.000001	-0.000003	0.000002	-0.000001	-0.000328	0.000000	-0.000328	0.000000	2.412763	3.981763	5.266963	6.319651	-0.000657	0.000328	0.000328	0.000000	0.000330	0.000827	0.000000	0.000000
2026-03-18 11:31:09.161535	0.000001	0.000001	0.000000	0.000001	0.000001	-0.000004	0.000002	-0.000002	-0.000657	0.000000	-0.000657	-0.000328	2.413420	3.982092	5.267949	6.320964	-0.001314	0.000000	0.000000	0.000657	0.000000	0.000000	0.000000	0.000000
2026-03-18 11:31:10.163684	0.000001	-0.000001	-0.000001	-0.000001	-0.000000	-0.000001	-0.000001	-0.000001	0.000000	-0.000328	0.000328	0.000000	2.413748	3.982749	5.267949	6.321621	0.000000	-0.000657	-0.000328	0.000657	0.000330	0.000827	-0.000329	0.000000
2026-03-18 11:31:11.490372	0.000001	-0.000001	-0.000001	-0.000001	0.000001	-0.000002	-0.000001	-0.000001	-0.000328	-0.000328	0.000000	0.000657	2.413420	3.982092	5.267949	6.320964	-0.000657	0.000000	0.000000	0.000657	0.000000	0.000000	0.000000	0.000000
2026-03-18 11:31:12.253508	0.000003	0.000002	0.000001	0.000003	0.000000	-0.000004	0.000003	-0.000000	0.000000	0.000000	-0.000328	0.000000	2.413420	3.982092	5.267620	6.320964	-0.000985	-0.000328	0.000328	0.000657	0.000659	0.000000	0.000000	0.000331
2026-03-18 11:31:13.283619	0.000002	0.000001	-0.000000	0.000001	-0.000002	-0.000004	0.000001	-0.000001	0.000000	-0.000328	-0.000328	-0.000328	2.413420	3.982092	5.267949	6.320636	-0.000328	0.000000	0.000328	0.000657	0.000000	0.000000	-0.000329	0.000000
2026-03-18 11:31:14.159237	0.000001	-0.000001	-0.000001	-0.000001	-0.000001	-0.000002	-0.000001	-0.000002	-0.000328	-0.000657	-0.000328	0.000328	2.413748	3.982092	5.267292	6.321293	0.000000	0.000000	0.000328	0.000657	0.000330	0.000827	-0.000329	0.000000
2026-03-18 11:31:15.762321	0.000002	0.000000	-0.000001	0.000001	0.000001	-0.000002	0.000000	0.000000	0.000000	0.000328	0.000328	0.000000	2.413748	3.982420	5.267949	6.320964	-0.000328	-0.000328	-0.000328	0.000657	0.000000	0.001653	-0.000657	0.000331
2026-03-18 11:31:16.155039	0.000001	0.000001	-0.000000	0.000001	0.000000	-0.000005	0.000002	-0.000002	0.000000	-0.000328	-0.000328	0.000000	2.413420	3.982420	5.268277	6.321950	-0.000328	-0.000328	0.000328	0.000328	0.000330	0.000000	-0.000329	-0.000331
2026-03-18 11:31:17.244733	0.000003	0.000001	0.000001	0.000002	0.000000	-0.000004	0.000003	-0.000000	0.000000	-0.000328	-0.000328	0.000328	2.413748	3.982092	5.268277	6.321293	-0.000985	0.000000	0.000000	0.000657	0.000000	0.000000	0.000000	0.000000
2026-03-18 11:31:18.159975	0.000001	-0.000001	-0.000001	0.000001	-0.000000	-0.000002	-0.000001	-0.000001	0.000000	0.000000	0.000000	0.000000	2.413091	3.982420	5.267949	6.320964	-0.000328	-0.000657	0.000657	0.000657	0.000330	0.000827	0.000000	0.000000
2026-03-18 11:31:19.248123	0.000000	-0.000001	-0.000000	0.000001	0.000002	-0.000001	0.000000	-0.000000	-0.000328	-0.000328	0.000000	0.000657	2.413748	3.982420	5.268277	6.321621	-0.000657	0.000328	0.000328	0.000985	0.000000	0.000000	-0.000329	0.000000
2026-03-18 11:31:20.251747	0.000002	0.000001	0.000001	0.000001	-0.000000	-0.000005	0.000000	-0.000002	-0.000328	0.000000	0.000000	-0.000328	2.413420	3.981763	5.267292	6.321621	-0.000657	-0.000657	0.000000	0.000657	0.000000	0.000827	0.000000	0.000000
2026-03-18 11:31:21.259606	0.000002	0.000002	0.000001	0.000001	0.000000	-0.000003	0.000001	-0.000001	0.000000	0.000328	0.000000	0.000328	2.413748	3.981763	5.267292	6.321621	-0.000328	0.000000	0.000328	0.000328	0.000000	-0.000827	0.000000	0.000000
2026-03-18 11:31:22.257326	0.000000	0.000001	-0.000001	0.000001	0.000001	-0.000001	-0.000000	-0.000001	-0.000328	0.000000	0.000000	0.000000	2.413420	3.982420	5.267949	6.320964	-0.000328	0.000328	0.000328	0.000657	0.000000	0.001653	0.000000	0.000331
2026-03-18 11:31:23.168102	-0.000001	-0.000002	-0.000002	-0.000001	0.000001	-0.000002	-0.000003	-0.000002	0.000000	0.000000	0.000000	0.000000	2.413748	3.982749	5.267949	6.320636	-0.000657	-0.000657	-0.000328	0.000985	0.000000	0.000827	0.000329	0.000331
2026-03-18 11:31:24.162799	0.000001	0.000001	-0.000001	0.000001	0.000001	-0.000004	-0.000000	-0.000002	-0.000328	0.000000	0.000328	0.000000	2.413091	3.982420	5.267292	6.320964	-0.000985	0.000328	0.000000	0.000328	0.000330	-0.000827	0.000000	0.000000
2026-03-18 11:31:25.429386	0.000002	0.000003	0.000001	0.000003	0.000000	-0.000004	0.000002	-0.000001	-0.000328	0.000000	-0.000328	0.000000	2.413420	3.981763	5.267620	6.320964	-0.000328	0.000000	0.000000	0.000657	0.000330	0.000000	0.000000	0.000000
2026-03-18 11:31:26.163103	0.000002	-0.000001	-0.000001	0.000001	0.000001	-0.000001	0.000000	-0.000000	-0.000328	0.000000	0.000000	0.000328	2.412763	3.982420	5.267292	6.320636	-0.000328	-0.000657	0.000657	0.000985	0.000330	0.000000	0.000329	0.000331
2026-03-18 11:31:27.162820	-0.000000	-0.000003	-0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000001	0.000000	0.000000	0.000000	-0.000328	2.413420	3.981435	5.266635	6.319651	-0.000657	0.000000	0.000328	0.000985	-0.000330	0.000827	0.000000	0.000000
2026-03-18 11:31:28.262025	0.000002	0.000000	-0.000001	0.000001	-0.000001	-0.000004	0.000001	-0.000001	0.000000	-0.000328	0.000000	-0.000328	2.412763	3.981435	5.266963	6.320308	-0.000328	-0.000328	0.000000	0.000328	0.000330	0.000000	0.000000	0.000331
2026-03-18 11:31:29.412104	0.000003	0.000001	0.000001	0.000001	-0.000001	-0.000004	0.000003	-0.000001	0.000000	-0.000328	0.000000	0.000000	2.412763	3.982420	5.266963	6.320308	-0.000657	-0.000985	0.000000	0.000985	0.000000	0.000000	-0.000329	0.000000
2026-03-18 11:31:30.250460	0.000001	0.000000	-0.000001	0.000001	0.000001	-0.000003	0.000000	-0.000001	0.000000	-0.000328	0.000000	0.000328	2.413091	3.982420	5.267292	6.320636	-0.000328	0.000000	0.000000	0.000328	0.000330	0.000000	0.000000	0.000331
2026-03-18 11:31:31.268864	0.000001	-0.000001	-0.000000	-0.000000	0.000001	-0.000000	0.000000	-0.000001	0.000000	0.000000	0.000000	0.000328	2.413091	3.981763	5.266635	6.320308	-0.000328	0.000000	0.000000	0.000328	0.000000	0.000827	0.000000	0.000000
2026-03-18 11:31:32.161891	0.000002	-0.000000	0.000001	0.000001	0.000000	-0.000002	0.000002	-0.000002	-0.000328	-0.000657	0.000000	0.000000	2.413748	3.982092	5.267292	6.320964	-0.000657	-0.000657	-0.000328	0.000657	0.000330	0.000000	0.000000	0.000000
2026-03-18 11:31:33.259158	0.000002	0.000000	0.000002	0.000003	0.000001	-0.000004	0.000001	-0.000002	-0.000328	0.000328	0.000328	0.000328	2.412434	3.981435	5.266306	6.320636	-0.000328	-0.000328	-0.000328	0.000328	0.000330	0.000000	0.000000	0.000000
2026-03-18 11:31:34.165089	0.000001	-0.000000	-0.000000	0.000001	0.000001	-0.000001	0.000001	-0.000002	0.000000	0.000000	0.000000	0.000000	2.413748	3.982092	5.266635	6.320636	-0.000657	0.000000	0.000000	0.000000	0.000330	0.000827	0.000000	0.000000
2026-03-18 11:31:35.284808	0.000001	-0.000001	-0.000001	-0.000000	0.000001	-0.000001	-0.000000	-0.000001	0.000000	-0.000328	-0.000328	0.000000	2.412434	3.981435	5.266635	6.319651	-0.000657	-0.000657	0.000000	0.000000	-0.000330	0.000827	-0.000657	0.000000
2026-03-18 11:31:36.270180	0.000001	0.000000	0.000000	0.000002	-0.000000	-0.000003	0.000001	-0.000001	0.000000	0.000000	-0.000328	-0.000328	2.413091	3.982092	5.266963	6.320636	-0.000328	-0.000657	0.000000	0.000328	0.000330	0.000827	0.000000	0.000000
2026-03-18 11:31:37.238221	0.000002	0.000001	0.000001	0.000002	0.000000	-0.000003	0.000002	-0.000000	0.000000	0.000000	-0.000328	-0.000328	2.413420	3.981763	5.267620	6.320636	-0.000985	-0.000328	0.000000	0.000657	0.000000	0.000000	0.000000	0.000000
