time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	volt_ch17	volt_ch18	volt_ch19	volt_ch20	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top
0.000	0.206584	0.556050	-0.614859	-1.340396	-0.345534	-2.512619	0.270959	-1.285217	3.128125	3.059479	3.764662	3.302860	0.020355	0.005575	0.000648	-0.000009	0.000145	-0.000885	0.006740	0.012593	-0.000390	0.000412	-0.001131	-0.000094
1.011	0.206255	0.556379	-0.615188	-1.340396	0.298877	-1.372255	1.700031	0.295264	3.127796	3.059479	3.764333	3.302860	0.020027	0.005903	0.000648	0.000320	0.000143	-0.000885	0.006739	0.012592	-0.000388	0.000414	-0.001132	-0.000095
2.010	0.206255	0.555722	-0.614859	-1.340396	0.298877	-1.371926	1.700688	0.295921	3.127796	3.059150	3.764662	3.302860	0.020355	0.005903	0.000320	-0.000009	0.000144	-0.000884	0.006740	0.012593	-0.000389	0.000412	-0.001131	-0.000094
3.010	0.206255	0.555722	-0.615188	-1.340067	0.299206	-1.370941	1.702658	0.296906	3.127796	3.059150	3.764662	3.303517	0.020027	0.006232	0.000648	-0.000009	0.000146	-0.000884	0.006742	0.012594	-0.000389	0.000411	-0.001129	-0.000095
4.010	0.206255	0.555394	-0.614531	-1.340396	0.299206	-1.370941	1.702001	0.297235	3.128453	3.059479	3.764333	3.303188	0.020355	0.006560	0.000648	0.000320	0.000145	-0.000883	0.006740	0.012593	-0.000389	0.000411	-0.001133	-0.000093
5.010	0.206584	0.556379	-0.614859	-1.340067	0.298877	-1.371926	1.700688	0.295921	3.128453	3.058822	3.764333	3.303188	0.020683	0.005903	0.000977	0.000320	0.000144	-0.000886	0.006739	0.012592	-0.000390	0.000414	-0.001134	-0.000095
6.010	0.206912	0.556050	-0.615188	-1.340396	0.298877	-1.371598	1.701344	0.296250	3.128453	3.059479	3.764333	3.303188	0.020355	0.005903	0.000648	0.000320	0.000146	-0.000885	0.006739	0.012594	-0.000389	0.000414	-0.001130	-0.000094
7.010	0.206255	0.556379	-0.614859	-1.340724	0.298877	-1.371598	1.700688	0.296250	3.128453	3.059150	3.764005	3.302860	0.019698	0.006560	0.000320	-0.000337	0.000146	-0.000884	0.006741	0.012595	-0.000390	0.000410	-0.001128	-0.000094
8.010	0.206584	0.555722	-0.615188	-1.340396	0.298877	-1.372583	1.700688	0.294936	3.128125	3.059479	3.764662	3.303188	0.020683	0.006232	0.000320	0.000320	0.000145	-0.000884	0.006740	0.012592	-0.000390	0.000411	-0.001128	-0.000095
9.010	0.206255	0.556379	-0.615188	-1.340067	0.298877	-1.371926	1.700359	0.294936	3.128125	3.059150	3.764662	3.303845	0.020355	0.005903	0.000648	0.000320	0.000144	-0.000883	0.006739	0.012594	-0.000389	0.000415	-0.001132	-0.000095
10.010	0.206912	0.556379	-0.614859	-1.340396	0.298877	-1.371926	1.700688	0.295593	3.128125	3.058822	3.764333	3.303517	0.020683	0.005903	0.000320	-0.000009	0.000142	-0.000885	0.006740	0.012593	-0.000390	0.000414	-0.001131	-0.000095
11.010	0.206584	0.556050	-0.614859	-1.340396	0.298220	-1.372583	1.700359	0.294936	3.128125	3.059150	3.764005	3.303188	0.020355	0.005903	0.000648	-0.000009	0.000144	-0.000882	0.006742	0.012593	-0.000390	0.000411	-0.001129	-0.000095
12.010	0.207241	0.556379	-0.615188	-1.340396	0.298877	-1.372255	1.699702	0.294279	3.128453	3.059479	3.764662	3.303517	0.020355	0.005903	0.000648	-0.000009	0.000145	-0.000884	0.006740	0.012594	-0.000390	0.000412	-0.001129	-0.000095
13.010	0.206584	0.556379	-0.615188	-1.340067	0.298877	-1.372255	1.700359	0.294936	3.128782	3.059479	3.764333	3.302860	0.020683	0.005903	0.000648	0.000320	0.000143	-0.000885	0.006739	0.012593	-0.000389	0.000415	-0.001132	-0.000094
14.010	0.206584	0.556379	-0.615188	-1.340396	0.298877	-1.372255	1.700688	0.295264	3.128453	3.059479	3.764662	3.303517	0.020355	0.005903	0.000648	-0.000009	0.000144	-0.000885	0.006738	0.012594	-0.000389	0.000414	-0.001132	-0.000095
15.010	0.206255	0.556379	-0.615845	-1.340396	0.298877	-1.371598	1.700688	0.295264	3.128125	3.059479	3.764662	3.302860	0.020355	0.005575	0.000648	-0.000009	0.000146	-0.000884	0.006742	0.012593	-0.000390	0.000413	-0.001128	-0.000094
16.010	0.206255	0.556050	-0.615188	-1.340396	0.298220	-1.372255	1.700031	0.294279	3.127796	3.059150	3.764662	3.303188	0.020355	0.005903	0.000648	0.000320	0.000144	-0.000885	0.006740	0.012592	-0.000391	0.000411	-0.001129	-0.000096
17.010	0.206255	0.555722	-0.615516	-1.340396	0.298877	-1.371926	1.700359	0.294936	3.128453	3.059479	3.764662	3.303517	0.020027	0.005903	0.000648	-0.000337	0.000143	-0.000885	0.006740	0.012592	-0.000390	0.000413	-0.001132	-0.000096
18.010	0.206255	0.556050	-0.615188	-1.340067	0.298549	-1.372255	1.701016	0.295921	3.128125	3.059479	3.764005	3.303188	0.020355	0.005903	0.000648	0.000648	0.000143	-0.000885	0.006739	0.012592	-0.000389	0.000414	-0.001132	-0.000095
19.010	0.206912	0.556379	-0.615188	-1.340396	0.298220	-1.371926	1.700688	0.294936	3.127796	3.059150	3.764333	3.303188	0.020683	0.005903	0.000648	-0.000009	0.000146	-0.000884	0.006740	0.012594	-0.000388	0.000412	-0.001129	-0.000094
20.010	0.206912	0.556050	-0.615188	-1.340067	0.298877	-1.372255	1.700688	0.295264	3.128453	3.059479	3.764662	3.303188	0.020355	0.005903	0.000648	-0.000337	0.000146	-0.000882	0.006740	0.012594	-0.000390	0.000411	-0.001128	-0.000094
21.010	0.206584	0.556707	-0.615188	-1.340396	0.298877	-1.372255	1.700688	0.294936	3.128453	3.059479	3.764662	3.303517	0.020027	0.006232	0.000320	0.000320	0.000144	-0.000884	0.006739	0.012591	-0.000390	0.000412	-0.001130	-0.000094
22.010	0.206255	0.556050	-0.615188	-1.340724	0.298877	-1.372255	1.700688	0.294936	3.128453	3.059150	3.764005	3.302860	0.020683	0.005903	0.000648	-0.000009	0.000144	-0.000885	0.006739	0.012591	-0.000390	0.000414	-0.001133	-0.000095
23.010	0.206912	0.556379	-0.615188	-1.340396	0.298877	-1.371926	1.700031	0.294936	3.128782	3.059150	3.764662	3.303517	0.020355	0.005903	0.000648	-0.000009	0.000145	-0.000884	0.006739	0.012593	-0.000389	0.000411	-0.001130	-0.000096
24.010	0.206255	0.556379	-0.615188	-1.340396	0.298877	-1.371926	1.700688	0.295264	3.127796	3.059150	3.764005	3.303188	0.020355	0.005575	0.000977	-0.000009	0.000146	-0.000882	0.006742	0.012594	-0.000389	0.000412	-0.001127	-0.000093
25.010	0.206584	0.556050	-0.615188	-1.340396	0.298220	-1.372255	1.700031	0.294607	3.127796	3.059150	3.764662	3.303188	0.019698	0.005903	0.000648	0.000320	0.000144	-0.000884	0.006740	0.012593	-0.000389	0.000414	-0.001131	-0.000094
26.010	0.202642	0.554408	-0.623727	-1.351891	0.286396	-1.384736	1.697403	0.281470	3.132394	3.060464	3.772873	3.314356	0.020683	0.006232	0.000648	-0.000337	0.000143	-0.000885	0.006739	0.012592	-0.000390	0.000415	-0.001133	-0.000095
27.010	0.202971	0.554408	-0.623399	-1.351234	0.286396	-1.384736	1.697403	0.281141	3.132394	3.061121	3.772544	3.314684	0.021012	0.005903	0.000648	-0.000009	0.000145	-0.000883	0.006740	0.012593	-0.000390	0.000412	-0.001130	-0.000095
