time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure_kPa	agg_plate_pressure_kPa	soil_pore_water_pressure_kPa	agg_pore_water_pressure_kPa
1.812500	1.584174	1.557148	1.527923	1.464561	1.453440	1.452147	1.975860	1.561803	1.571113	1.548872	1.429647	1.324388	0.956829	-1.320987	0.401391	0.925991
1.875000	1.584045	1.557018	1.527923	1.464690	1.453699	1.452923	1.975084	1.561803	1.570984	1.549001	1.429130	1.323353	0.957489	-1.321814	0.401391	0.925660
1.937500	1.584045	1.557148	1.527665	1.464561	1.453440	1.453311	1.974696	1.561803	1.570855	1.548743	1.428483	1.321931	0.957159	-1.322641	0.402049	0.925991
2.000000	1.583786	1.557148	1.527406	1.465078	1.453440	1.454087	1.973791	1.561674	1.570855	1.548872	1.427578	1.320896	0.956829	-1.322641	0.401391	0.925660
2.062500	1.584174	1.557148	1.527277	1.465207	1.453440	1.454216	1.973661	1.561932	1.570596	1.548484	1.427319	1.320767	0.956829	-1.322641	0.401720	0.925660
2.125000	1.584045	1.557018	1.527148	1.465207	1.453440	1.454475	1.974049	1.561932	1.570596	1.548613	1.427190	1.321284	0.956500	-1.321814	0.401720	0.925991
2.187500	1.584045	1.557018	1.527535	1.465207	1.453440	1.454216	1.974049	1.561932	1.570725	1.548613	1.427319	1.322707	0.957159	-1.321814	0.401720	0.925991
2.250000	1.584303	1.557148	1.527148	1.465078	1.453311	1.453957	1.975213	1.561803	1.570725	1.548613	1.427837	1.323871	0.957159	-1.322641	0.401720	0.925991
2.312500	1.584045	1.556889	1.527148	1.465078	1.453311	1.453440	1.975601	1.561803	1.571113	1.548872	1.428742	1.325293	0.957489	-1.320987	0.401391	0.925660
2.375000	1.584303	1.557018	1.527535	1.464949	1.453569	1.452535	1.976377	1.561932	1.570855	1.548872	1.429388	1.326457	0.957818	-1.320987	0.402049	0.925991
2.437500	1.584303	1.557018	1.527923	1.464690	1.453569	1.452147	1.976377	1.561803	1.571113	1.548872	1.429906	1.327491	0.958148	-1.320160	0.401391	0.925660
2.500000	1.584045	1.556889	1.527794	1.464302	1.453311	1.452018	1.976894	1.561803	1.571113	1.549001	1.430035	1.328009	0.958148	-1.320160	0.401391	0.925991
