time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure_kPa	agg_plate_pressure_kPa	soil_pore_water_pressure_kPa	agg_pore_water_pressure_kPa
0.000000	1.303698	1.406630	1.227793	0.760078	1.400293	0.744948	1.965385	1.408569	1.220551	1.192879	1.470768	1.298784	0.953203	0.000000	0.401720	0.925991
0.062500	1.303698	1.406630	1.227922	0.760207	1.400164	0.745078	1.965256	1.408699	1.220681	1.193008	1.470897	1.298784	0.952543	0.000000	0.401391	0.925660
0.125000	1.303569	1.406500	1.227793	0.760207	1.400423	0.745078	1.965256	1.408699	1.220422	1.193008	1.471026	1.298655	0.952873	0.000000	0.402049	0.925660
0.187500	1.303310	1.406371	1.227793	0.760207	1.400293	0.745207	1.965127	1.408569	1.220422	1.193008	1.471026	1.298914	0.952873	0.000000	0.401720	0.925660
0.250000	1.303439	1.406371	1.228051	0.760207	1.400423	0.745078	1.965127	1.408699	1.220551	1.192879	1.470768	1.298914	0.952543	0.000000	0.401391	0.925991
0.312500	1.303310	1.406630	1.228051	0.760336	1.400423	0.745078	1.965256	1.408699	1.220681	1.193137	1.470897	1.299043	0.952873	0.000000	0.402049	0.925660
0.375000	1.303310	1.406630	1.227922	0.760078	1.400164	0.745078	1.965127	1.408699	1.220681	1.193008	1.471156	1.299043	0.953532	0.000000	0.401720	0.925991
0.437500	1.303310	1.406242	1.227922	0.760078	1.400423	0.745078	1.965256	1.408569	1.220681	1.193008	1.471026	1.298914	0.953203	0.000000	0.402049	0.925660
0.500000	1.303439	1.406371	1.227922	0.760207	1.400164	0.745078	1.965385	1.408699	1.220681	1.193008	1.471156	1.298526	0.953532	0.000000	0.401720	0.925660
0.562500	1.303439	1.406630	1.228181	0.760207	1.400423	0.745207	1.965256	1.408569	1.220681	1.193008	1.471026	1.298784	0.953532	0.000000	0.401391	0.925660
0.625000	1.303439	1.406759	1.228051	0.760078	1.400293	0.745078	1.965256	1.408828	1.220939	1.193137	1.470768	1.298784	0.953203	0.000000	0.401720	0.925660
0.687500	1.303439	1.406500	1.227922	0.760207	1.400164	0.745078	1.965256	1.408569	1.220939	1.193008	1.470897	1.298784	0.952873	0.000000	0.401720	0.925660
0.750000	1.303439	1.406500	1.227922	0.760207	1.400164	0.745207	1.965256	1.408699	1.220810	1.193008	1.471026	1.298784	0.953203	0.000000	0.401391	0.925660
0.812500	1.303698	1.406630	1.227922	0.760207	1.400293	0.745078	1.965256	1.408699	1.220681	1.193008	1.470768	1.299043	0.952873	0.000000	0.401720	0.925660
0.875000	1.303957	1.406500	1.227922	0.760207	1.400293	0.745078	1.965256	1.408699	1.220681	1.192879	1.470768	1.298914	0.952543	0.000000	0.401720	0.925991
0.937500	1.303181	1.406630	1.227922	0.760078	1.400164	0.744948	1.964997	1.408699	1.220810	1.193008	1.471026	1.298914	0.953203	0.000000	0.401720	0.925660
1.000000	1.303698	1.406630	1.227793	0.760207	1.400164	0.745207	1.965127	1.408828	1.220681	1.193008	1.470897	1.298914	0.952873	0.000000	0.401720	0.925991
1.062500	1.303569	1.406630	1.228051	0.760207	1.400293	0.745078	1.965256	1.408828	1.220810	1.193137	1.471285	1.298914	0.953203	0.000000	0.401720	0.925991
1.125000	1.303439	1.406371	1.227793	0.760078	1.400423	0.745078	1.965256	1.408828	1.220681	1.193008	1.470897	1.298784	0.952873	0.000000	0.401720	0.925991
1.187500	1.303439	1.406242	1.227922	0.760078	1.400423	0.745078	1.965127	1.408440	1.220422	1.192749	1.470768	1.298784	0.952873	0.000000	0.401720	0.925660
1.250000	1.303310	1.406500	1.227922	0.760207	1.400423	0.745078	1.965256	1.408699	1.220422	1.193008	1.470768	1.298526	0.953532	0.000000	0.401720	0.925991
1.312500	1.303698	1.406759	1.228051	0.760336	1.400164	0.745078	1.965256	1.408699	1.220810	1.193008	1.470897	1.298914	0.952873	0.000000	0.402049	0.925660
1.375000	1.303698	1.406759	1.228181	0.760207	1.400164	0.744948	1.965256	1.408699	1.220681	1.192879	1.470768	1.298655	0.952873	0.000000	0.401391	0.925660
1.437500	1.303569	1.406630	1.227922	0.760207	1.400423	0.744948	1.965256	1.408828	1.220681	1.192879	1.470897	1.298655	0.953203	0.000000	0.401391	0.925660
1.500000	1.303569	1.406630	1.227922	0.760207	1.400423	0.745078	1.965385	1.408699	1.220551	1.193008	1.470768	1.299043	0.952873	0.000000	0.401391	0.925330
1.562500	1.303439	1.406630	1.228181	0.760336	1.400164	0.744948	1.965256	1.408699	1.220551	1.193137	1.471156	1.298655	0.952873	0.000000	0.401391	0.925991
1.625000	1.303181	1.406759	1.227922	0.760336	1.400423	0.745078	1.965256	1.408699	1.220681	1.193137	1.471026	1.298914	0.953203	0.000000	0.401391	0.925991
1.687500	1.303569	1.406500	1.227922	0.760207	1.400164	0.745207	1.965385	1.408699	1.220681	1.193008	1.470768	1.299043	0.953203	0.000000	0.401720	0.925991
1.750000	1.303439	1.406630	1.228181	0.760207	1.400423	0.745078	1.965256	1.408699	1.220939	1.193008	1.470768	1.298784	0.953532	0.000000	0.402049	0.926322
1.812500	1.303439	1.406630	1.228181	0.760336	1.400164	0.745078	1.965385	1.408699	1.220810	1.193267	1.471026	1.298914	0.953203	0.000000	0.402049	0.926322
1.875000	1.303439	1.406500	1.227922	0.760207	1.400293	0.745078	1.965256	1.408699	1.220551	1.193267	1.471026	1.298784	0.952873	0.000000	0.401720	0.925991
1.937500	1.303439	1.406500	1.227793	0.760336	1.400293	0.745078	1.965385	1.408699	1.220551	1.192879	1.471026	1.298784	0.952543	0.000000	0.401391	0.925991
2.000000	1.303698	1.406759	1.228051	0.760336	1.400164	0.744948	1.965256	1.408699	1.220810	1.193137	1.471026	1.298784	0.952873	0.000000	0.401720	0.925991
2.062500	1.303569	1.406630	1.227922	0.760078	1.400423	0.745078	1.965385	1.408828	1.220681	1.193008	1.471026	1.298914	0.952873	0.000000	0.401720	0.925991
2.125000	1.303439	1.406630	1.228051	0.760078	1.400164	0.745078	1.965256	1.408699	1.220810	1.193267	1.470897	1.298655	0.952873	0.000000	0.401391	0.925660
2.187500	1.303181	1.406500	1.227922	0.760207	1.400423	0.745078	1.965256	1.408699	1.220551	1.193137	1.470897	1.298784	0.952873	0.000000	0.401720	0.926322
2.250000	1.303439	1.406630	1.227793	0.760078	1.400164	0.745078	1.965385	1.408699	1.220681	1.193008	1.471026	1.298784	0.952873	0.000000	0.401391	0.925660
2.312500	1.303569	1.406630	1.227793	0.760078	1.400164	0.744948	1.965256	1.408699	1.220422	1.192879	1.470768	1.298784	0.953203	0.000000	0.402049	0.925660
2.375000	1.303569	1.406630	1.227922	0.760078	1.400293	0.745078	1.965256	1.408828	1.220551	1.193008	1.470897	1.298784	0.952873	0.000000	0.401720	0.925991
